Fecha,Signo,Cantidad_USD,NAV,Cambio_%,AUM
2015-02-04,Entrada,56670949.5,102.87,-0.164376,37366763338.5
2015-02-05,Entrada,241741492.0,103.78,0.886091,37547082800.0
2015-02-06,Entrada,243883540.5,103.11,-0.641914,38123667490.5
2015-02-09,Salida,-324809257.5,102.81,-0.29799,37554137010.0
2015-02-10,Entrada,92526102.0,104.4,1.553176,37534755378.0
2015-02-11,Entrada,20880710.0,104.81,0.3865,38138616815.0
2015-02-12,Entrada,104807070.0,106.04,1.17888,38390829741.0
2015-02-13,Salida,-196178847.0,106.92,0.828214,38647232859.0
2015-02-16,Salida,0.0,106.92,0.000112,38967314716.0
2015-02-17,Salida,-21384200.0,107.01,0.085259,38945974250.0
2015-02-18,Entrada,353140128.0,107.15,0.126201,39332319408.0
2015-02-19,Entrada,187507617.5,107.66,0.476055,39569464653.0
2015-02-20,Entrada,156103070.5,108.42,0.703845,39913940267.5
2015-02-23,Salida,-48786763.5,108.57,0.144048,40146085609.0
2015-02-24,Salida,-5428560.0,108.61,0.036907,40198486800.0
2015-02-25,Salida,-146625214.5,108.36,-0.230436,40066697503.0
2015-02-26,Entrada,65016594.0,108.89,0.48798,40039385805.0
2015-02-27,Salida,-119778747.0,108.36,-0.484692,40114991268.0
2015-03-02,Entrada,10836199.0,109.41,0.965458,39931393315.0
2015-03-03,Entrada,820561350.0,108.82,-0.540773,41137475680.0
2015-03-04,Salida,0.0,108.49,-0.299614,40915015280.0
2015-03-05,Salida,-21698100.0,108.65,0.150751,40770729900.0
2015-03-06,Salida,-21730810.0,107.37,-1.185552,40810461180.0
2015-03-09,Salida,-85892720.0,107.71,0.320353,40240739320.0
2015-03-10,Entrada,436224892.5,105.67,-1.897514,40805876672.5
2015-03-11,Entrada,417380858.0,105.1,-0.53953,40448960112.0
2015-03-12,Salida,-336307008.0,105.85,0.716108,39894418824.0
2015-03-13,Salida,-190527372.0,105.33,-0.492354,39989578412.0
2015-03-16,Salida,-579300645.0,106.68,1.284272,39213387297.0
2015-03-17,Salida,-192024144.0,106.81,0.117173,39524969640.0
2015-03-18,Salida,-26701270.0,107.95,1.070258,39544580870.0
2015-03-19,Entrada,367023778.0,108.05,0.096982,40334833720.5
2015-03-20,Entrada,205300434.0,108.58,0.484115,40579251573.0
2015-03-23,Entrada,141148748.0,108.26,-0.291989,40916850526.0
2015-03-24,Salida,-205691967.0,107.9,-0.328065,40591685803.5
2015-03-25,Entrada,210412351.5,105.43,-2.294313,40668930913.0
2015-03-26,Salida,-527140600.0,105.09,-0.32129,39208717828.0
2015-03-27,Entrada,89325981.5,105.52,0.412211,39172070122.5
2015-03-30,Salida,-1007740639.0,106.75,1.165087,38325801056.0
